,week,ranking,country,player,age,points,(+/-),tournaments_played
1177,2024-01-15,78,esp,Bernabe Zapata Miralles,27,715,0,26
1178,2024-01-15,79,fra,Luca Van Assche,19,715,28,27
1179,2024-01-15,80,aus,Thanasi Kokkinakis,27,711,-81,24
1180,2024-01-15,81,per,Juan Pablo Varillas,28,709,0,25
1181,2024-01-15,82,esp,Jaume Munar,26,706,0,29
1182,2024-01-15,83,fra,Gregoire Barrere,29,696,-12,30
1183,2024-01-15,84,arg,Federico Coria,31,694,0,28
1184,2024-01-15,85,esp,Albert Ramos-Vinolas,35,688,0,33
1185,2024-01-15,86,chi,Cristian Garin,27,680,0,22
1186,2024-01-15,87,col,Daniel Elahi Galan,27,676,0,30
1187,2024-01-15,88,sui,Dominic Stricker,21,673,0,21
1188,2024-01-15,89,cro,Borna Gojo,25,664,0,22
1189,2024-01-15,90,arg,Facundo Diaz Acosta,23,661,6,27
1190,2024-01-15,91,usa,Alex Michelsen,19,656,-3,26
1191,2024-01-15,92,aut,Dominic Thiem,30,654,0,28
1192,2024-01-15,93,chi,Tomas Barrios Vera,26,630,0,29
1193,2024-01-15,94,fra,Arthur Rinderknech,28,629,3,28
1194,2024-01-15,95,aus,James Duckworth,31,628,0,26
1195,2024-01-15,96,ger,Maximilian Marterer,28,626,0,21
1196,2024-01-15,97,fra,Hugo Gaston,23,626,0,29
1197,2024-01-15,98,gbr,Liam Broady,30,621,0,27
1198,2024-01-15,99,fra,Constant Lestienne,31,619,-80,33
1199,2024-01-15,100,ita,Flavio Cobolli,21,617,0,31
1200,2024-01-08,1,srb,Novak Djokovic,36,"11,055",-190,19
1201,2024-01-08,2,esp,Carlos Alcaraz,20,"8,855",0,18
1202,2024-01-08,3,rus,Daniil Medvedev,27,"7,555",-45,21
1203,2024-01-08,4,ita,Jannik Sinner,22,"6,490",0,22
1204,2024-01-08,5,rus,Andrey Rublev,26,"5,010",205,25
1205,2024-01-08,6,ger,Alexander Zverev,26,"4,275",290,27
1206,2024-01-08,7,gre,Stefanos Tsitsipas,25,"4,025",-210,24
1207,2024-01-08,8,den,Holger Rune,20,"3,815",155,23
1208,2024-01-08,9,pol,Hubert Hurkacz,26,"3,320",75,24
1209,2024-01-08,10,aus,Alex de Minaur,24,"2,950",210,25
1210,2024-01-08,11,nor,Casper Ruud,25,"2,910",85,24
1211,2024-01-08,12,usa,Taylor Fritz,26,"2,840",-260,26
1212,2024-01-08,13,bul,Grigor Dimitrov,32,"2,775",205,23
1213,2024-01-08,14,usa,Tommy Paul,26,"2,665",0,26
1214,2024-01-08,15,rus,Karen Khachanov,27,"2,475",-45,22
1215,2024-01-08,16,usa,Ben Shelton,21,"2,145",0,27
1216,2024-01-08,17,usa,Frances Tiafoe,25,"2,100",-210,22
1217,2024-01-08,18,chi,Nicolas Jarry,28,"1,830",20,22
1218,2024-01-08,19,gbr,Cameron Norrie,28,"1,810",-130,25
1219,2024-01-08,20,fra,Adrian Mannarino,35,"1,765",10,31
1220,2024-01-08,21,fra,Ugo Humbert,25,"1,765",0,29
1221,2024-01-08,22,arg,Francisco Cerundolo,25,"1,760",0,26
1222,2024-01-08,23,esp,Alejandro Davidovich Fokina,24,"1,530",35,26
1223,2024-01-08,24,ger,Jan-Lennard Struff,33,"1,511",-11,27
1224,2024-01-08,25,ita,Lorenzo Musetti,21,"1,435",-35,27
1225,2024-01-08,26,arg,Sebastian Baez,23,"1,435",0,30
1226,2024-01-08,27,can,Felix Auger-Aliassime,23,"1,425",0,20
1227,2024-01-08,28,ned,Tallon Griekspoor,27,"1,410",-230,27
1228,2024-01-08,29,usa,Sebastian Korda,23,"1,380",-150,19
1229,2024-01-08,30,arg,Tomas Martin Etcheverry,24,"1,375",0,30
1230,2024-01-08,31,kaz,Alexander Bublik,26,"1,369",0,30
1231,2024-01-08,32,cze,Jiri Lehecka,22,"1,337",-35,27
1232,2024-01-08,33,srb,Laslo Djere,28,"1,285",0,26
1233,2024-01-08,34,usa,Christopher Eubanks,27,"1,235",0,26
1234,2024-01-08,35,fra,Arthur Fils,19,"1,208",50,24
1235,2024-01-08,36,rus,Roman Safiullin,26,"1,190",68,22
1236,2024-01-08,37,aut,Sebastian Ofner,27,"1,132",84,31
1237,2024-01-08,38,rus,Aslan Karatsev,30,"1,103",-90,20
1238,2024-01-08,39,cro,Borna Coric,27,"1,100",-35,22
1239,2024-01-08,40,gbr,Daniel Evans,33,"1,096",-35,26
1240,2024-01-08,41,ita,Matteo Arnaldi,22,"1,062",41,25
1241,2024-01-08,42,usa,Mackenzie McDonald,28,"1,055",0,29
1242,2024-01-08,43,aus,Alexei Popyrin,24,"1,052",-32,26
1243,2024-01-08,44,gbr,Andy Murray,36,"1,050",0,24
1244,2024-01-08,45,aus,Max Purcell,25,"1,006",-6,30
1245,2024-01-08,46,ita,Lorenzo Sonego,28,990,0,28
1246,2024-01-08,47,aus,Jordan Thompson,29,982,80,28
1247,2024-01-08,48,kaz,Alexander Shevchenko,23,961,14,30
1248,2024-01-08,49,ger,Yannick Hanfmann,32,929,15,26
1249,2024-01-08,50,fin,Emil Ruusuvuori,24,921,150,28
1250,2024-01-08,51,esp,Roberto Bautista Agut,35,916,30,27
1251,2024-01-08,52,srb,Dusan Lajovic,33,914,0,23
1252,2024-01-08,53,chn,Zhizhen Zhang,27,911,26,24
1253,2024-01-08,54,usa,J.J. Wolf,25,910,0,26
1254,2024-01-08,55,srb,Miomir Kecmanovic,24,910,5,31
1255,2024-01-08,56,sui,Stan Wawrinka,38,907,-35,21
1256,2024-01-08,57,ger,Daniel Altmaier,25,906,15,28
1257,2024-01-08,58,jpn,Yoshihito Nishioka,28,865,-90,21
1258,2024-01-08,59,ned,Botic van de Zandschulp,28,865,-65,24
1259,2024-01-08,60,usa,Marcos Giron,30,860,0,28
1260,2024-01-08,61,ger,Dominik Koepfer,29,858,125,22
1261,2024-01-08,62,gbr,Jack Draper,22,836,-20,18
1262,2024-01-08,63,aus,Aleksandar Vukic,27,835,0,30
1263,2024-01-08,64,rus,Pavel Kotov,25,835,44,23
1264,2024-01-08,65,hun,Fabian Marozsan,24,805,0,25
1265,2024-01-08,66,por,Nuno Borges,26,799,0,27
1266,2024-01-08,67,esp,Roberto Carballes Baena,30,796,-20,30
1267,2024-01-08,68,aus,Thanasi Kokkinakis,27,792,-10,24
1268,2024-01-08,69,hun,Marton Fucsovics,31,782,-100,22
1269,2024-01-08,70,aus,Rinky Hijikata,22,782,38,27
1270,2024-01-08,71,aus,Christopher O'Connell,29,780,0,31
1271,2024-01-08,72,arg,Pedro Cachin,28,763,0,30
1272,2024-01-08,73,cze,Tomas Machac,23,753,31,26
1273,2024-01-08,74,jpn,Taro Daniel,30,739,2,26
1274,2024-01-08,75,fra,Gael Monfils,37,737,0,18
1275,2024-01-08,76,fra,Richard Gasquet,37,735,0,33
1276,2024-01-08,77,esp,Bernabe Zapata Miralles,26,715,0,25
1277,2024-01-08,78,bra,Thiago Seyboth Wild,23,714,-4,23
1278,2024-01-08,79,fra,Alexandre Muller,26,711,-3,31
1279,2024-01-08,80,per,Juan Pablo Varillas,28,709,0,25
1280,2024-01-08,81,fra,Gregoire Barrere,29,708,0,31
1281,2024-01-08,82,chi,Alejandro Tabilo,26,707,0,25
1282,2024-01-08,83,esp,Jaume Munar,26,706,0,29
1283,2024-01-08,84,fra,Constant Lestienne,31,699,0,33
1284,2024-01-08,85,arg,Federico Coria,31,694,0,29
1285,2024-01-08,86,esp,Albert Ramos-Vinolas,35,688,0,34
1286,2024-01-08,87,fra,Luca Van Assche,19,687,0,26
1287,2024-01-08,88,chi,Cristian Garin,27,680,-29,22
1288,2024-01-08,89,col,Daniel Elahi Galan,27,676,0,30
1289,2024-01-08,90,sui,Dominic Stricker,21,673,0,21
1290,2024-01-08,91,cro,Borna Gojo,25,664,-80,21
1291,2024-01-08,92,usa,Alex Michelsen,19,659,6,26
1292,2024-01-08,93,arg,Facundo Diaz Acosta,23,655,-13,26
1293,2024-01-08,94,aut,Dominic Thiem,30,654,2,28
1294,2024-01-08,95,chi,Tomas Barrios Vera,26,630,0,29
1295,2024-01-08,96,aus,James Duckworth,31,628,55,26
1296,2024-01-08,97,fra,Arthur Rinderknech,28,626,-30,28
1297,2024-01-08,98,ger,Maximilian Marterer,28,626,-57,21
1298,2024-01-08,99,fra,Hugo Gaston,23,626,5,29
1299,2024-01-08,100,gbr,Liam Broady,30,621,13,27
1300,2024-01-01,1,srb,Novak Djokovic,36,"11,245",0,18
1301,2024-01-01,2,esp,Carlos Alcaraz,20,"8,855",0,18
1302,2024-01-01,3,rus,Daniil Medvedev,27,"7,600",0,22
1303,2024-01-01,4,ita,Jannik Sinner,22,"6,490",0,23
1304,2024-01-01,5,rus,Andrey Rublev,26,"4,805",0,25
1305,2024-01-01,6,gre,Stefanos Tsitsipas,25,"4,235",0,24
1306,2024-01-01,7,ger,Alexander Zverev,26,"3,985",0,27
1307,2024-01-01,8,den,Holger Rune,20,"3,660",0,23
1308,2024-01-01,9,pol,Hubert Hurkacz,26,"3,245",0,24
1309,2024-01-01,10,usa,Taylor Fritz,26,"3,100",0,26
1310,2024-01-01,11,nor,Casper Ruud,25,"2,825",0,24
1311,2024-01-01,12,aus,Alex de Minaur,24,"2,740",0,25
1312,2024-01-01,13,usa,Tommy Paul,26,"2,665",0,26
1313,2024-01-01,14,bul,Grigor Dimitrov,32,"2,570",0,23
1314,2024-01-01,15,rus,Karen Khachanov,27,"2,520",0,22
1315,2024-01-01,16,usa,Frances Tiafoe,25,"2,310",0,22
1316,2024-01-01,17,usa,Ben Shelton,21,"2,145",0,26
1317,2024-01-01,18,gbr,Cameron Norrie,28,"1,940",0,25
1318,2024-01-01,19,chi,Nicolas Jarry,28,"1,810",0,22
1319,2024-01-01,20,fra,Ugo Humbert,25,"1,765",0,28
1320,2024-01-01,21,arg,Francisco Cerundolo,25,"1,760",0,26
1321,2024-01-01,22,fra,Adrian Mannarino,35,"1,755",0,31
1322,2024-01-01,23,ned,Tallon Griekspoor,27,"1,640",0,27
1323,2024-01-01,24,usa,Sebastian Korda,23,"1,530",0,19
1324,2024-01-01,25,ger,Jan-Lennard Struff,33,"1,522",0,27
1325,2024-01-01,26,esp,Alejandro Davidovich Fokina,24,"1,495",0,25
1326,2024-01-01,27,ita,Lorenzo Musetti,21,"1,470",0,27
1327,2024-01-01,28,arg,Sebastian Baez,23,"1,435",0,30
1328,2024-01-01,29,can,Felix Auger-Aliassime,23,"1,425",0,21
1329,2024-01-01,30,arg,Tomas Martin Etcheverry,24,"1,375",0,29
1330,2024-01-01,31,cze,Jiri Lehecka,22,"1,372",0,27
1331,2024-01-01,32,kaz,Alexander Bublik,26,"1,369",0,31
1332,2024-01-01,33,srb,Laslo Djere,28,"1,285",0,26
1333,2024-01-01,34,usa,Christopher Eubanks,27,"1,235",0,26
1334,2024-01-01,35,rus,Aslan Karatsev,30,"1,193",0,20
1335,2024-01-01,36,fra,Arthur Fils,19,"1,158",0,23
1336,2024-01-01,37,cro,Borna Coric,27,"1,135",0,22
1337,2024-01-01,38,gbr,Daniel Evans,33,"1,131",0,27
1338,2024-01-01,39,rus,Roman Safiullin,26,"1,122",0,22
1339,2024-01-01,40,aus,Alexei Popyrin,24,"1,084",0,26
1340,2024-01-01,41,usa,Mackenzie McDonald,28,"1,055",0,29
1341,2024-01-01,42,gbr,Andy Murray,36,"1,050",0,24
1342,2024-01-01,43,aut,Sebastian Ofner,27,"1,048",0,31
1343,2024-01-01,44,ita,Matteo Arnaldi,22,"1,021",0,25
1344,2024-01-01,45,aus,Max Purcell,25,"1,012",0,30
1345,2024-01-01,46,ita,Lorenzo Sonego,28,990,0,28
1346,2024-01-01,47,jpn,Yoshihito Nishioka,28,955,0,22
1347,2024-01-01,48,kaz,Alexander Shevchenko,23,947,0,30
1348,2024-01-01,49,sui,Stan Wawrinka,38,942,0,22
1349,2024-01-01,50,ned,Botic van de Zandschulp,28,930,0,24
1350,2024-01-01,51,ger,Yannick Hanfmann,32,914,0,25
1351,2024-01-01,52,srb,Dusan Lajovic,33,914,0,23
1352,2024-01-01,53,usa,J.J. Wolf,25,910,0,25
1353,2024-01-01,54,srb,Miomir Kecmanovic,24,905,0,31
1354,2024-01-01,55,aus,Jordan Thompson,29,902,0,28
1355,2024-01-01,56,ger,Daniel Altmaier,25,891,0,27
1356,2024-01-01,57,esp,Roberto Bautista Agut,35,886,0,27
1357,2024-01-01,58,chn,Zhizhen Zhang,27,885,0,23
1358,2024-01-01,59,hun,Marton Fucsovics,31,882,0,22
1359,2024-01-01,60,usa,Marcos Giron,30,860,0,29
1360,2024-01-01,61,gbr,Jack Draper,22,856,0,19
1361,2024-01-01,62,aus,Aleksandar Vukic,27,835,0,30
1362,2024-01-01,63,esp,Roberto Carballes Baena,30,816,0,31
1363,2024-01-01,64,hun,Fabian Marozsan,24,805,0,25
1364,2024-01-01,65,aus,Thanasi Kokkinakis,27,802,0,24
1365,2024-01-01,66,por,Nuno Borges,26,799,0,26
1366,2024-01-01,67,rus,Pavel Kotov,25,791,0,23
1367,2024-01-01,68,aus,Christopher O'Connell,29,780,0,31
1368,2024-01-01,69,fin,Emil Ruusuvuori,24,771,0,28
1369,2024-01-01,70,arg,Pedro Cachin,28,763,0,30
1370,2024-01-01,71,aus,Rinky Hijikata,22,744,0,27
1371,2024-01-01,72,cro,Borna Gojo,25,744,0,21
1372,2024-01-01,73,fra,Benjamin Bonzi,27,738,0,28
1373,2024-01-01,74,fra,Gael Monfils,37,737,0,18
1374,2024-01-01,75,jpn,Taro Daniel,30,737,0,26
1375,2024-01-01,76,fra,Richard Gasquet,37,735,0,33
1376,2024-01-01,77,ger,Dominik Koepfer,29,733,0,21
1377,2024-01-01,78,cze,Tomas Machac,23,722,0,26
1378,2024-01-01,79,bra,Thiago Seyboth Wild,23,718,0,23
1379,2024-01-01,80,esp,Bernabe Zapata Miralles,26,715,0,26
1380,2024-01-01,81,fra,Alexandre Muller,26,714,0,31
1381,2024-01-01,82,chi,Cristian Garin,27,709,0,23
1382,2024-01-01,83,per,Juan Pablo Varillas,28,709,0,25
1383,2024-01-01,84,fra,Gregoire Barrere,29,708,0,30
1384,2024-01-01,85,chi,Alejandro Tabilo,26,707,0,25
1385,2024-01-01,86,esp,Jaume Munar,26,706,0,30
1386,2024-01-01,87,fra,Constant Lestienne,31,699,0,33
1387,2024-01-01,88,arg,Federico Coria,31,694,0,30
1388,2024-01-01,89,esp,Albert Ramos-Vinolas,35,688,0,35
1389,2024-01-01,90,fra,Luca Van Assche,19,687,0,26
1390,2024-01-01,91,ger,Maximilian Marterer,28,683,0,22
1391,2024-01-01,92,ita,Matteo Berrettini,27,682,0,17
1392,2024-01-01,93,col,Daniel Elahi Galan,27,676,0,30
1393,2024-01-01,94,sui,Dominic Stricker,21,673,0,21
1394,2024-01-01,95,arg,Facundo Diaz Acosta,23,668,0,26
1395,2024-01-01,96,fra,Arthur Rinderknech,28,656,0,28
1396,2024-01-01,97,usa,Alex Michelsen,19,653,0,25
1397,2024-01-01,98,aut,Dominic Thiem,30,652,0,27
1398,2024-01-01,99,jpn,Yosuke Watanuki,25,646,0,22
1399,2024-01-01,100,fra,Quentin Halys,27,640,0,25
